"","x"
"1",2
"2",3
"3",4
"4",5
"5",6
"6",7
"7",8
"8",9
"9",11
"10",17
"11",19
"12",21
"13",23
"14",24
"15",25
"16",26
"17",27
"18",28
"19",29
"20",30
"21",31
"22",32
"23",33
"24",34
"25",35
"26",36
"27",37
"28",38
"29",39
"30",41
"31",44
"32",45
"33",47
"34",49
"35",50
"36",51
"37",52
"38",53
"39",54
"40",55
"41",56
"42",57
"43",58
"44",59
"45",60
"46",61
"47",62
"48",63
"49",64
"50",66
"51",67
"52",68
"53",71
"54",72
"55",74
"56",75
"57",76
"58",77
"59",78
"60",80
"61",83
"62",84
"63",86
"64",87
"65",88
"66",89
"67",91
"68",93
"69",94
"70",96
"71",97
"72",98
"73",99
"74",103
"75",104
"76",105
"77",108
"78",109
"79",110
"80",111
"81",112
"82",113
"83",114
"84",115
"85",116
"86",117
"87",120
"88",121
"89",122
"90",123
"91",124
"92",125
"93",127
"94",128
"95",131
"96",132
"97",133
"98",136
"99",138
"100",139
"101",140
"102",141
"103",142
"104",143
"105",144
"106",145
"107",147
"108",148
"109",149
"110",150
"111",151
"112",152
"113",153
"114",154
"115",156
"116",158
"117",160
"118",164
"119",165
"120",166
"121",167
"122",168
"123",170
"124",171
"125",172
"126",173
"127",174
"128",176
"129",177
"130",178
"131",179
"132",180
"133",181
"134",182
"135",183
"136",184
"137",185
"138",186
"139",188
"140",189
"141",190
"142",191
"143",192
"144",193
"145",194
"146",195
"147",196
"148",197
"149",198
"150",199
"151",200
"152",201
"153",202
"154",203
"155",205
"156",209
"157",210
"158",213
"159",214
"160",215
"161",216
"162",217
"163",218
"164",219
"165",220
"166",221
"167",222
"168",223
"169",225
"170",227
"171",228
"172",229
"173",230
"174",231
"175",232
"176",234
"177",239
"178",240
"179",241
"180",242
"181",243
"182",244
"183",245
"184",246
"185",247
"186",248
"187",249
"188",250
"189",252
"190",253
"191",254
"192",255
"193",257
"194",258
"195",260
"196",262
"197",263
"198",265
"199",266
"200",267
"201",268
"202",269
"203",270
"204",271
"205",272
"206",273
"207",277
"208",279
"209",287
"210",299
"211",300
"212",301
"213",302
"214",303
"215",305
"216",306
"217",307
"218",309
"219",310
"220",312
"221",313
"222",314
"223",315
"224",318
"225",320
"226",321
"227",322
"228",325
"229",326
"230",327
"231",328
"232",329
"233",330
"234",331
"235",1041
"236",243
"237",474
"238",402
"239",228
"240",442
"241",192
"242",275
"243",443
"244",927
"245",353
"246",426
"247",492
"248",885
"249",463
"250",586
"251",338
"252",475
"253",711
"254",932
"255",483
"256",616
"257",466
"258",165
"259",509
"260",495
"261",497
"262",491
"263",734
"264",227
"265",283
"266",424
"267",540
"268",473
"269",459
"270",193
"271",812
"272",342
"273",219
"274",372
"275",642
"276",452
"277",391
"278",445
"279",448
"280",155
"281",414
"282",403
"283",932
"284",374
"285",436
"286",418
"287",360
"288",406
"289",462
"290",779
"291",385
"292",345
"293",275
"294",302
"295",280
"296",169
"297",462
"298",374
"299",312
"300",858
"301",366
"302",393
"303",309
"304",873
"305",243
"306",736
"307",479
"308",439
"309",385
"310",237
"311",454
"312",223
"313",234
"314",329
"315",242
"316",348
"317",753
"318",177
"319",806
"320",285
"321",687
"322",828
"323",178
"324",349
"325",277
"326",422
"327",428
"328",390
"329",201
"330",260
"331",978
"332",397
"333",847
"334",241
"335",407
"336",183
"337",209
"338",194
"339",682
"340",226
"341",302
"342",822
"343",164
"344",685
"345",233
"346",650
"347",177
"348",1095
"349",298
"350",671
"351",646
"352",151
"353",761
"354",207
"355",558
"356",523
"357",741
"358",614
"359",776
"360",234
"361",278
"362",621
"363",971
"364",422
"365",551
"366",576
"367",286
"368",465
"369",332
"370",816
"371",923
"372",432
"373",431
"374",174
"375",342
"376",463
"377",154
"378",317
"379",928
"380",304
"381",753
"382",334
"383",858
"384",217
"385",460
"386",409
"387",661
"388",431
"389",361
"390",151
"391",311
"392",345
"393",431
"394",469
"395",251
"396",181
"397",216
"398",182
"399",407
"400",199
"401",445
"402",899
"403",332
"404",278
"405",548
"406",431
"407",180
"408",470
"409",886
"410",253
"411",410
"412",407
"413",439
"414",344
"415",398
"416",440
"417",432
"418",428
"419",191
"420",1005
"421",230
"422",180
"423",509
"424",531
"425",437
"426",657
"427",886
"428",444
"429",386
"430",245
"431",357
"432",438
"433",439
"434",403
"435",424
"436",191
"437",411
"438",499
"439",253
"440",203
"441",908
"442",822
"443",812
"444",331
"445",927
"446",438
"447",937
"448",585
"449",263
"450",203
"451",174
"452",213
"453",232
"454",216
"455",368
"456",888
"457",183
"458",200
"459",627
"460",353
"461",301
"462",817
"463",215
"464",162
"465",967
"466",439
"467",447
"468",284
